Time(min),Coverage(%),MSD(um2)
0.1,0.00038147,3514.75
0.2,0.000762939,1
0.3,0.00109673,1
0.4,0.00143051,2017
0.5,0.00166893,2017
0.6,0.00190735,1
0.7,0.00228882,1
0.8,0.00257492,1
0.9,0.00290871,1
1,0.00314713,1
1.1,0.00348091,1
1.2,0.00371933,1
1.3,0.00395775,1
1.4,0.0041008,1
1.5,0.00433922,1
1.6,0.00457764,1
1.7,0.00476837,1
1.8,0.00491142,1
1.9,0.00510216,1
2,0.00538826,1
2.1,0.00557899,1
2.2,0.0058651,2017
2.3,0.00610352,1
2.4,0.0061512,2017
2.5,0.0064373,1
2.6,0.0067234,1
2.7,0.00700951,1
2.8,0.00720024,1
2.9,0.00753403,1
3,0.00772476,1
3.1,0.00796318,1
3.2,0.00824928,1
3.3,0.00844002,1
3.4,0.00872612,1
3.5,0.00896454,1
3.6,0.00929832,1
3.7,0.00958443,2017
3.8,0.0099659,1
3.9,0.0102997,1
4,0.0104904,1
4.1,0.0107288,2017
4.2,0.0110149,1
4.3,0.011301,2017
4.4,0.0116348,1
4.5,0.0119209,1
4.6,0.012207,1
4.7,0.0125885,2017
4.8,0.0128746,4033
4.9,0.0131607,1
5,0.0133991,2017
5.1,0.0136375,4033
5.2,0.0139236,1
5.3,0.0141621,2017
5.4,0.0144005,1
5.5,0.0145912,1
5.6,0.0148773,1
5.7,0.0152111,1
5.8,0.0155449,1
5.9,0.0157356,1
6,0.0160694,1
6.1,0.0163555,2017
6.2,0.0166893,2017
6.3,0.0169277,1
6.4,0.0172138,2017
6.5,0.0174522,1
6.6,0.0175953,1
6.7,0.0178337,1
6.8,0.0180721,1
6.9,0.0183582,2017
7,0.018692,1
7.1,0.0189781,1
7.2,0.0193119,1
7.3,0.0195503,1
7.4,0.0197887,2017
7.5,0.0201225,1
7.6,0.0203133,1
7.7,0.020504,2017
7.79999,0.0207424,1
7.89999,0.0209808,1
7.99999,0.0211716,1
8.09999,0.0213146,2017
8.2,0.0214577,1
8.3,0.0217438,2017
8.4,0.0219345,4033
8.5,0.0222683,1
8.6,0.0226021,2017
8.7,0.0228405,1
8.8,0.0231743,1
8.9,0.0234127,2017
9,0.0237465,1
9.1,0.0240326,1
9.2,0.0242233,1
9.3,0.0245094,1
9.4,0.0248432,1
9.5,0.025034,1
9.6,0.0252724,1
9.7,0.0255108,1
9.8,0.0257015,1
9.9,0.0259876,2017
10,0.026226,1
10.1,0.0264168,1
10.2,0.0267029,1
10.3,0.0270844,1
10.4,0.0273705,1
10.5,0.0276089,1
10.6,0.0279427,1
10.7,0.0281334,1
10.8,0.0284672,1
10.9,0.028801,1
11,0.0291824,1
11.1,0.0295162,1
11.2,0.0298023,1
11.3,0.0300884,1
11.4,0.0304222,1
11.5,0.0307083,1
11.6,0.030899,1
11.7,0.0310898,1
11.8,0.0313759,1
11.9,0.0315666,1
12,0.0317574,1
12.1,0.0320911,1
12.2,0.0324726,1
12.3,0.032711,1
12.4,0.0330925,1
12.5,0.0334263,1
12.6,0.0337124,1
12.7,0.0340462,2017
12.8,0.0343323,1
12.9,0.0346661,1
13,0.0349998,1
13.1,0.0353336,1
13.2,0.0356674,1
13.3,0.0359058,1
13.4,0.0362396,1
13.5,0.036478,1
13.6,0.0367641,1
13.7,0.0369549,1
13.8,0.0371933,1
13.9,0.0374794,2017
14,0.0378132,1
14.1,0.038147,1
14.2,0.0384808,2017
14.3,0.0388145,1
14.4,0.0391483,1
14.5,0.0393391,1
14.6,0.0395298,1
14.7,0.0397205,2017
14.8,0.0398636,1
