Iteration 1: Best parameters: [33, 959, 79, 50, 14, 9], Best score: 8001
Iteration 1: Best parameters: [33, 959, 79, 50, 14, 9], Best score: 8001
Iteration 2: Best parameters: [33, 959, 79, 50, 14, 9], Best score: 8001
Iteration 3: Best parameters: [33, 959, 79, 50, 14, 9], Best score: 8001
Iteration 2: Best parameters: [33, 959, 79, 50, 14, 9], Best score: 8001
Iteration 4: Best parameters: [33, 959, 79, 50, 14, 9], Best score: 8001
Iteration 3: Best parameters: [33, 959, 79, 50, 14, 9], Best score: 8001
Iteration 5: Best parameters: [33, 959, 79, 50, 14, 9], Best score: 8001
Iteration 4: Best parameters: [33, 959, 79, 50, 14, 9], Best score: 8001
Iteration 6: Best parameters: [33, 959, 79, 50, 14, 9], Best score: 8001
Iteration 7: Best parameters: [33, 959, 79, 50, 14, 9], Best score: 8001
Iteration 5: Best parameters: [33, 959, 79, 50, 14, 9], Best score: 8001
Iteration 8: Best parameters: [33, 959, 79, 50, 14, 9], Best score: 8001
Iteration 9: Best parameters: [33, 959, 79, 50, 14, 9], Best score: 8001
Iteration 6: Best parameters: [33, 959, 79, 50, 14, 9], Best score: 8001
Iteration 10: Best parameters: [33, 959, 79, 50, 14, 9], Best score: 8001
Iteration 7: Best parameters: [33, 959, 79, 50, 14, 9], Best score: 8001
Iteration 11: Best parameters: [33, 959, 79, 50, 14, 9], Best score: 8001
